sku_id,category_id,base_demand,unit_price,weekend_mult,holiday_mult
1,3,4,390.95,1.3,1.5
2,1,11,82.23,1.4,1.2
3,3,6,170.19,1.3,1.5
4,4,3,355.5,1.2,1.3
5,2,7,469.58,1.1,2.5
6,2,6,95.0,1.1,2.5
7,1,23,8.5,1.4,1.2
8,1,25,149.16,1.4,1.2
9,3,4,487.01,1.3,1.5
10,3,6,230.75,1.3,1.5
11,3,2,491.7,1.3,1.5
12,1,24,27.99,1.4,1.2
13,3,4,11.57,1.3,1.5
14,1,34,482.99,1.4,1.2
15,2,6,119.29,1.1,2.5
16,4,7,222.88,1.2,1.3
17,3,18,90.82,1.3,1.5
18,1,9,133.1,1.4,1.2
19,4,5,107.93,1.2,1.3
20,4,25,96.5,1.2,1.3
21,3,6,200.6,1.3,1.5
22,4,19,300.96,1.2,1.3
23,4,13,262.81,1.2,1.3
24,2,1,166.04,1.1,2.5
25,4,9,295.44,1.2,1.3
26,1,27,144.06,1.4,1.2
27,4,3,86.81,1.2,1.3
28,1,3,493.51,1.4,1.2
29,4,2,11.97,1.2,1.3
30,3,3,354.89,1.3,1.5
31,3,10,463.52,1.3,1.5
32,2,20,62.36,1.1,2.5
33,3,6,52.23,1.3,1.5
34,3,18,158.94,1.3,1.5
35,4,15,140.99,1.2,1.3
36,3,29,238.75,1.3,1.5
37,1,3,131.75,1.4,1.2
38,3,13,263.75,1.3,1.5
39,3,6,104.85,1.3,1.5
40,4,3,320.02,1.2,1.3
41,4,31,73.97,1.2,1.3
42,3,11,208.14,1.3,1.5
43,3,27,440.83,1.3,1.5
44,2,14,405.02,1.1,2.5
45,1,6,113.13,1.4,1.2
46,4,3,446.82,1.2,1.3
47,3,3,181.37,1.3,1.5
48,2,5,59.48,1.1,2.5
49,1,2,86.5,1.4,1.2
50,3,3,211.62,1.3,1.5
51,1,3,125.84,1.4,1.2
52,3,15,164.99,1.3,1.5
53,4,1,37.12,1.2,1.3
54,2,20,481.41,1.1,2.5
55,2,17,78.3,1.1,2.5
56,4,16,23.26,1.2,1.3
57,1,7,21.36,1.4,1.2
58,4,9,454.59,1.2,1.3
59,3,9,226.65,1.3,1.5
60,2,35,124.82,1.1,2.5
61,4,6,124.87,1.2,1.3
62,2,4,187.05,1.1,2.5
63,4,7,409.13,1.2,1.3
64,4,8,418.47,1.2,1.3
65,4,34,429.89,1.2,1.3
66,4,7,340.39,1.2,1.3
67,3,15,177.59,1.3,1.5
68,3,11,91.31,1.3,1.5
69,1,10,419.67,1.4,1.2
70,3,1,173.83,1.3,1.5
71,1,8,349.41,1.4,1.2
72,3,2,331.69,1.3,1.5
73,2,7,134.11,1.1,2.5
74,1,9,51.09,1.4,1.2
75,4,16,98.41,1.2,1.3
76,1,8,177.86,1.4,1.2
77,4,8,205.23,1.2,1.3
78,1,8,322.81,1.4,1.2
79,3,14,189.28,1.3,1.5
80,1,30,333.43,1.4,1.2
81,1,3,245.38,1.4,1.2
82,3,3,327.72,1.3,1.5
83,1,2,186.4,1.4,1.2
84,4,7,425.37,1.2,1.3
85,1,10,256.86,1.4,1.2
86,2,1,136.28,1.1,2.5
87,2,9,245.94,1.1,2.5
88,4,7,317.41,1.2,1.3
89,2,20,336.12,1.1,2.5
90,1,2,101.65,1.4,1.2
91,1,68,385.43,1.4,1.2
92,4,7,92.67,1.2,1.3
93,4,1,442.33,1.2,1.3
94,4,6,12.65,1.2,1.3
95,4,11,288.28,1.2,1.3
96,4,1,427.24,1.2,1.3
97,3,3,137.9,1.3,1.5
98,3,4,88.9,1.3,1.5
99,1,17,465.36,1.4,1.2
100,2,5,53.1,1.1,2.5
101,4,2,130.81,1.2,1.3
102,2,22,439.3,1.1,2.5
103,1,10,151.77,1.4,1.2
104,2,30,406.01,1.1,2.5
105,1,4,7.57,1.4,1.2
106,4,8,400.16,1.2,1.3
107,1,6,30.13,1.4,1.2
